Date	Hour	Power
20-08-2017	14:00:00	5.644
20-08-2017	15:00:00	5.64
20-08-2017	16:00:00	6.216
20-08-2017	17:00:00	6.815
20-08-2017	18:00:00	7.05
20-08-2017	19:00:00	7.049
20-08-2017	20:00:00	7.044
20-08-2017	21:00:00	6.866
20-08-2017	22:00:00	6.046
20-08-2017	23:00:00	5.144
21-08-2017	00:00:00	4.574
21-08-2017	01:00:00	4.305
21-08-2017	02:00:00	4.227
21-08-2017	03:00:00	4.137
21-08-2017	04:00:00	4.275
21-08-2017	05:00:00	4.365
21-08-2017	06:00:00	5.17
21-08-2017	07:00:00	6.039
21-08-2017	08:00:00	5.782
21-08-2017	09:00:00	5.736
21-08-2017	10:00:00	5.574
21-08-2017	11:00:00	5.45
21-08-2017	12:00:00	5.407
21-08-2017	13:00:00	5.278
21-08-2017	14:00:00	5.138
21-08-2017	15:00:00	5.163
21-08-2017	16:00:00	5.53
21-08-2017	17:00:00	6.304
21-08-2017	18:00:00	6.452
21-08-2017	19:00:00	6.721
21-08-2017	20:00:00	6.834
21-08-2017	21:00:00	6.731
21-08-2017	22:00:00	5.803
21-08-2017	23:00:00	4.926
22-08-2017	00:00:00	4.534
22-08-2017	01:00:00	4.245
22-08-2017	02:00:00	4.252
22-08-2017	03:00:00	4.156
22-08-2017	04:00:00	4.116
22-08-2017	05:00:00	4.201
22-08-2017	06:00:00	5.063
22-08-2017	07:00:00	5.876
22-08-2017	08:00:00	5.638
22-08-2017	09:00:00	5.605
22-08-2017	10:00:00	5.292
22-08-2017	11:00:00	5.272
22-08-2017	12:00:00	5.248
22-08-2017	13:00:00	4.997
22-08-2017	14:00:00	4.974
22-08-2017	15:00:00	4.97
22-08-2017	16:00:00	5.427
22-08-2017	17:00:00	6.179
22-08-2017	18:00:00	6.243
22-08-2017	19:00:00	6.24
22-08-2017	20:00:00	6.719
22-08-2017	21:00:00	6.739
22-08-2017	22:00:00	5.846
22-08-2017	23:00:00	4.875
23-08-2017	00:00:00	4.359
23-08-2017	01:00:00	4.125
23-08-2017	02:00:00	4.083
23-08-2017	03:00:00	3.97
23-08-2017	04:00:00	4.033
23-08-2017	05:00:00	4.178
23-08-2017	06:00:00	5.019
23-08-2017	07:00:00	5.818
23-08-2017	08:00:00	5.529
23-08-2017	09:00:00	5.504
23-08-2017	10:00:00	5.273
23-08-2017	11:00:00	5.269
23-08-2017	12:00:00	5.133
23-08-2017	13:00:00	5.045
23-08-2017	14:00:00	4.811
23-08-2017	15:00:00	4.832
23-08-2017	16:00:00	5.35
23-08-2017	17:00:00	6.069
23-08-2017	18:00:00	6.352
23-08-2017	19:00:00	6.331
23-08-2017	20:00:00	6.674
23-08-2017	21:00:00	6.727
23-08-2017	22:00:00	5.842
23-08-2017	23:00:00	4.935
24-08-2017	00:00:00	4.534
24-08-2017	01:00:00	4.386
24-08-2017	02:00:00	4.382
24-08-2017	03:00:00	4.445
24-08-2017	04:00:00	4.542
24-08-2017	05:00:00	4.743
24-08-2017	06:00:00	5.47
24-08-2017	07:00:00	6.203
24-08-2017	08:00:00	5.775
24-08-2017	09:00:00	5.611
24-08-2017	10:00:00	5.444
24-08-2017	11:00:00	5.331
24-08-2017	12:00:00	5.189
24-08-2017	13:00:00	5.023
24-08-2017	14:00:00	4.966
24-08-2017	15:00:00	5.092
24-08-2017	16:00:00	5.671
24-08-2017	17:00:00	6.373
24-08-2017	18:00:00	6.554
24-08-2017	19:00:00	6.649
24-08-2017	20:00:00	6.816
24-08-2017	21:00:00	6.724
24-08-2017	22:00:00	5.87
24-08-2017	23:00:00	4.909
25-08-2017	00:00:00	4.454
25-08-2017	01:00:00	4.141
25-08-2017	02:00:00	4.003
25-08-2017	03:00:00	4.047
25-08-2017	04:00:00	4.073
25-08-2017	05:00:00	4.257
25-08-2017	06:00:00	5.082
25-08-2017	07:00:00	5.864
25-08-2017	08:00:00	5.765
25-08-2017	09:00:00	5.621
25-08-2017	10:00:00	5.543
25-08-2017	11:00:00	5.353
25-08-2017	12:00:00	5.176
25-08-2017	13:00:00	5.172
25-08-2017	14:00:00	5.047
25-08-2017	15:00:00	5.031
25-08-2017	16:00:00	5.391
25-08-2017	17:00:00	5.98
25-08-2017	18:00:00	6.245
25-08-2017	19:00:00	6.091
25-08-2017	20:00:00	6.342
25-08-2017	21:00:00	6.273
25-08-2017	22:00:00	5.626
25-08-2017	23:00:00	5.034
26-08-2017	00:00:00	4.565
26-08-2017	01:00:00	4.23
26-08-2017	02:00:00	3.992
26-08-2017	03:00:00	3.956
26-08-2017	04:00:00	3.953
26-08-2017	05:00:00	4.003
26-08-2017	06:00:00	3.753
26-08-2017	07:00:00	4.26
26-08-2017	08:00:00	5.176
26-08-2017	09:00:00	5.778
26-08-2017	10:00:00	5.934
26-08-2017	11:00:00	5.844
26-08-2017	12:00:00	5.797
26-08-2017	13:00:00	5.603
26-08-2017	14:00:00	5.475
26-08-2017	15:00:00	5.412
26-08-2017	16:00:00	5.703
26-08-2017	17:00:00	6.273
26-08-2017	18:00:00	6.398
26-08-2017	19:00:00	6.138
26-08-2017	20:00:00	6.271
26-08-2017	21:00:00	6.275
26-08-2017	22:00:00	5.654
26-08-2017	23:00:00	5.143
27-08-2017	00:00:00	4.569
27-08-2017	01:00:00	4.344
27-08-2017	02:00:00	4.128
27-08-2017	03:00:00	4.059
27-08-2017	04:00:00	4
27-08-2017	05:00:00	4.084
27-08-2017	06:00:00	3.768
27-08-2017	07:00:00	4.151
27-08-2017	08:00:00	4.966
27-08-2017	09:00:00	6.07
27-08-2017	10:00:00	6.587
27-08-2017	11:00:00	6.412
27-08-2017	12:00:00	6.398
27-08-2017	13:00:00	6.114
27-08-2017	14:00:00	5.989
27-08-2017	15:00:00	5.985
27-08-2017	16:00:00	6.239
27-08-2017	17:00:00	6.535
27-08-2017	18:00:00	6.749
27-08-2017	19:00:00	6.797
27-08-2017	20:00:00	7.084
27-08-2017	21:00:00	7.013
27-08-2017	22:00:00	6.008
27-08-2017	23:00:00	5.113
28-08-2017	00:00:00	4.513
28-08-2017	01:00:00	4.247
28-08-2017	02:00:00	4.219
28-08-2017	03:00:00	4.301
28-08-2017	04:00:00	4.378
28-08-2017	05:00:00	4.547
28-08-2017	06:00:00	5.354
28-08-2017	07:00:00	6.022
28-08-2017	08:00:00	5.858
28-08-2017	09:00:00	5.649
28-08-2017	10:00:00	5.518
28-08-2017	11:00:00	5.354
28-08-2017	12:00:00	5.225
28-08-2017	13:00:00	4.953
28-08-2017	14:00:00	4.994
28-08-2017	15:00:00	4.969
28-08-2017	16:00:00	5.447
28-08-2017	17:00:00	6.363
28-08-2017	18:00:00	6.497
28-08-2017	19:00:00	6.556
28-08-2017	20:00:00	6.903
28-08-2017	21:00:00	6.769
28-08-2017	22:00:00	5.809
28-08-2017	23:00:00	4.857
29-08-2017	00:00:00	4.332
29-08-2017	01:00:00	4.15
29-08-2017	02:00:00	4.053
29-08-2017	03:00:00	4.021
29-08-2017	04:00:00	4.12
29-08-2017	05:00:00	4.312
29-08-2017	06:00:00	5.084
29-08-2017	07:00:00	5.683
29-08-2017	08:00:00	5.527
29-08-2017	09:00:00	5.37
29-08-2017	10:00:00	5.145
29-08-2017	11:00:00	5.007
29-08-2017	12:00:00	5.072
29-08-2017	13:00:00	4.893
29-08-2017	14:00:00	4.878
29-08-2017	15:00:00	4.802
29-08-2017	16:00:00	5.299
29-08-2017	17:00:00	6.083
29-08-2017	18:00:00	6.192
29-08-2017	19:00:00	6.378
29-08-2017	20:00:00	6.675
29-08-2017	21:00:00	6.659
29-08-2017	22:00:00	5.627
29-08-2017	23:00:00	4.66
30-08-2017	00:00:00	4.121
30-08-2017	01:00:00	3.89
30-08-2017	02:00:00	3.779
30-08-2017	03:00:00	3.698
30-08-2017	04:00:00	3.698
30-08-2017	05:00:00	3.865
30-08-2017	06:00:00	4.848
30-08-2017	07:00:00	5.605
30-08-2017	08:00:00	5.486
30-08-2017	09:00:00	5.484
30-08-2017	10:00:00	5.473
30-08-2017	11:00:00	5.453
30-08-2017	12:00:00	5.418
30-08-2017	13:00:00	5.208
30-08-2017	14:00:00	5.03
30-08-2017	15:00:00	5.081
30-08-2017	16:00:00	5.441
30-08-2017	17:00:00	6.298
30-08-2017	18:00:00	6.315
30-08-2017	19:00:00	6.401
30-08-2017	20:00:00	6.914
30-08-2017	21:00:00	6.613
30-08-2017	22:00:00	5.545
30-08-2017	23:00:00	4.658
31-08-2017	00:00:00	4.149
31-08-2017	01:00:00	3.944
31-08-2017	02:00:00	3.927
31-08-2017	03:00:00	3.708
31-08-2017	04:00:00	3.824
31-08-2017	05:00:00	3.967
31-08-2017	06:00:00	4.974
31-08-2017	07:00:00	5.821
31-08-2017	08:00:00	5.644
31-08-2017	09:00:00	5.572
31-08-2017	10:00:00	5.45
31-08-2017	11:00:00	5.414
31-08-2017	12:00:00	5.419
31-08-2017	13:00:00	5.432
31-08-2017	14:00:00	5.506
31-08-2017	15:00:00	5.544
31-08-2017	16:00:00	5.952
31-08-2017	17:00:00	6.674
31-08-2017	18:00:00	6.836
31-08-2017	19:00:00	6.853
31-08-2017	20:00:00	7.318
31-08-2017	21:00:00	7.138
31-08-2017	22:00:00	6.165
31-08-2017	23:00:00	5.23
01-09-2017	00:00:00	4.7
01-09-2017	01:00:00	4.417
01-09-2017	02:00:00	4.38
01-09-2017	03:00:00	4.339
01-09-2017	04:00:00	4.348
01-09-2017	05:00:00	4.563
01-09-2017	06:00:00	5.35
01-09-2017	07:00:00	6.102
01-09-2017	08:00:00	5.89
01-09-2017	09:00:00	5.81
01-09-2017	10:00:00	5.646
01-09-2017	11:00:00	5.566
01-09-2017	12:00:00	5.401
01-09-2017	13:00:00	5.152
01-09-2017	14:00:00	5.288
01-09-2017	15:00:00	5.176
01-09-2017	16:00:00	5.482
01-09-2017	17:00:00	6.155
01-09-2017	18:00:00	6.231
01-09-2017	19:00:00	6.171
01-09-2017	20:00:00	6.64
01-09-2017	21:00:00	6.477
01-09-2017	22:00:00	6.001
01-09-2017	23:00:00	5.38
02-09-2017	00:00:00	4.841
02-09-2017	01:00:00	4.541
02-09-2017	02:00:00	4.389
02-09-2017	03:00:00	4.197
02-09-2017	04:00:00	4.211
02-09-2017	05:00:00	4.42
02-09-2017	06:00:00	4.185
02-09-2017	07:00:00	4.584
02-09-2017	08:00:00	5.286
02-09-2017	09:00:00	6.057
02-09-2017	10:00:00	6.052
02-09-2017	11:00:00	6.08
02-09-2017	12:00:00	5.887
02-09-2017	13:00:00	5.756
02-09-2017	14:00:00	5.646
02-09-2017	15:00:00	5.687
02-09-2017	16:00:00	5.929
02-09-2017	17:00:00	6.365
02-09-2017	18:00:00	6.554
02-09-2017	19:00:00	6.427
02-09-2017	20:00:00	6.681
02-09-2017	21:00:00	6.513
02-09-2017	22:00:00	6.121
02-09-2017	23:00:00	5.752
03-09-2017	00:00:00	5.316
03-09-2017	01:00:00	4.973
03-09-2017	02:00:00	4.823
03-09-2017	03:00:00	4.719
03-09-2017	04:00:00	4.783
03-09-2017	05:00:00	4.889
03-09-2017	06:00:00	4.656
03-09-2017	07:00:00	4.9
03-09-2017	08:00:00	5.548
03-09-2017	09:00:00	6.022
03-09-2017	10:00:00	6.166
03-09-2017	11:00:00	6.214
03-09-2017	12:00:00	5.994
03-09-2017	13:00:00	5.843
03-09-2017	14:00:00	5.607
03-09-2017	15:00:00	5.571
03-09-2017	16:00:00	5.943
03-09-2017	17:00:00	6.554
03-09-2017	18:00:00	6.932
03-09-2017	19:00:00	6.966
03-09-2017	20:00:00	7.275
03-09-2017	21:00:00	6.838
03-09-2017	22:00:00	6.025
03-09-2017	23:00:00	5.161
04-09-2017	00:00:00	4.617
04-09-2017	01:00:00	4.437
04-09-2017	02:00:00	4.403
04-09-2017	03:00:00	4.308
04-09-2017	04:00:00	4.391
04-09-2017	05:00:00	4.665
04-09-2017	06:00:00	5.565
04-09-2017	07:00:00	6.24
04-09-2017	08:00:00	6.042
04-09-2017	09:00:00	5.875
04-09-2017	10:00:00	5.774
04-09-2017	11:00:00	5.873
04-09-2017	12:00:00	5.853
04-09-2017	13:00:00	5.625
04-09-2017	14:00:00	5.622
04-09-2017	15:00:00	5.696
04-09-2017	16:00:00	6.237
04-09-2017	17:00:00	7.157
04-09-2017	18:00:00	7.318
04-09-2017	19:00:00	7.516
04-09-2017	20:00:00	7.862
04-09-2017	21:00:00	7.129
04-09-2017	22:00:00	6.157
04-09-2017	23:00:00	5.144
05-09-2017	00:00:00	4.659
05-09-2017	01:00:00	4.406
05-09-2017	02:00:00	4.382
05-09-2017	03:00:00	4.21
05-09-2017	04:00:00	4.165
05-09-2017	05:00:00	4.444
05-09-2017	06:00:00	5.523
05-09-2017	07:00:00	6.308
05-09-2017	08:00:00	5.972
05-09-2017	09:00:00	5.991
05-09-2017	10:00:00	5.842
05-09-2017	11:00:00	5.754
05-09-2017	12:00:00	5.688
05-09-2017	13:00:00	5.43
05-09-2017	14:00:00	5.495
05-09-2017	15:00:00	5.498
05-09-2017	16:00:00	5.838
05-09-2017	17:00:00	6.886
05-09-2017	18:00:00	7.05
05-09-2017	19:00:00	7.068
05-09-2017	20:00:00	7.483
05-09-2017	21:00:00	6.869
05-09-2017	22:00:00	5.979
05-09-2017	23:00:00	5.063
06-09-2017	00:00:00	4.554
06-09-2017	01:00:00	4.302
06-09-2017	02:00:00	4.142
06-09-2017	03:00:00	4.139
06-09-2017	04:00:00	4.128
06-09-2017	05:00:00	4.441
06-09-2017	06:00:00	5.354
06-09-2017	07:00:00	6.094
06-09-2017	08:00:00	5.907
06-09-2017	09:00:00	5.736
06-09-2017	10:00:00	5.653
06-09-2017	11:00:00	5.675
06-09-2017	12:00:00	5.721
06-09-2017	13:00:00	5.643
06-09-2017	14:00:00	5.74
06-09-2017	15:00:00	5.781
06-09-2017	16:00:00	6.151
06-09-2017	17:00:00	6.983
06-09-2017	18:00:00	7.301
06-09-2017	19:00:00	7.65
06-09-2017	20:00:00	7.913
06-09-2017	21:00:00	7.124
06-09-2017	22:00:00	6.221
06-09-2017	23:00:00	5.341
07-09-2017	00:00:00	4.81
07-09-2017	01:00:00	4.703
07-09-2017	02:00:00	4.585
07-09-2017	03:00:00	4.71
07-09-2017	04:00:00	4.71
07-09-2017	05:00:00	4.99
07-09-2017	06:00:00	5.977
07-09-2017	07:00:00	6.831
07-09-2017	08:00:00	6.556
07-09-2017	09:00:00	6.412
07-09-2017	10:00:00	6.479
07-09-2017	11:00:00	6.382
07-09-2017	12:00:00	6.443
07-09-2017	13:00:00	6.248
07-09-2017	14:00:00	6.216
07-09-2017	15:00:00	6.35
07-09-2017	16:00:00	6.844
